movieid,moviename,genres
6434,"I Capture the Castle (2003)",Drama|Romance
6436,"Northfork (2003)",Drama|Fantasy
6437,"Bad Boys II (2003)",Action|Comedy|Crime|Thriller
6438,"How to Deal (2003)",Comedy|Drama|Romance
6439,"Johnny English (2003)",Action|Comedy|Thriller
6441,"Dirty Pretty Things (2002)",Drama|Thriller
6443,"Garage Days (2002)",Comedy|Musical
6453,"Lara Croft Tomb Raider: The Cradle of Life (2003)",Action|Adventure|Comedy|Romance|Thriller
6454,"Seabiscuit (2003)",Drama
6455,"Spy Kids 3-D: Game Over (2003)",Action|Adventure|Children
6456,"Buffalo Soldiers (2001)",Comedy|Crime|Drama|War
6475,"American Wedding (2003)",Comedy
6476,"Gigli (2003)",Action|Crime|Drama
6478,"Boys Life 4: Four Play (2003)",Comedy|Drama
6479,"I'll Be There (2003)",Comedy|Musical|Romance
6482,"Freaky Friday (2003)",Comedy|Drama
6484,"S.W.A.T. (2003)",Action|Thriller
6495,"Purpose (2002)",Drama
6504,"Freddy Vs. Jason (2003)",Action|Horror|Thriller
6505,"Grind (2003)",Action|Comedy
6506,"Open Range (2003)",Western
6508,"Uptown Girls (2003)",Comedy
6509,"American Splendor (2003)",Comedy|Drama
6512,"Passionada (2002)",Comedy|Romance
6513,"Agent Cody Banks (2003)",Action|Adventure|Children|Fantasy
6540,"Ash Wednesday (2002)",Crime|Drama
6561,"War Photographer (2001)",Documentary
6568,"Revolution OS (2001)",Documentary
6574,"Marci X (2003)",Comedy|Musical
6576,"My Boss's Daughter (2003)",Comedy|Romance
6581,"Stoked: The Rise and Fall of Gator (2002)",Documentary
6585,"Bollywood/Hollywood (2002)",Comedy|Drama|Musical|Romance
6586,"Civil Brand (2002)",Drama
6588,"Once Upon a Time in the Midlands (2002)",Drama
6591,"Dickie Roberts: Former Child Star (2003)",Comedy
6593,"Home Room (2002)",Drama
6594,"Party Monster (2003)",Comedy|Crime|Drama|Thriller
6595,"Taking Sides (2001)",Drama
6596,"Cabin Fever (2002)",Horror|Thriller
6597,"Matchstick Men (2003)",Comedy|Crime|Drama
6598,"Once Upon a Time in Mexico (2003)",Action|Adventure|Crime|Thriller
6599,"Dummy (2002)",Comedy|Drama|Romance
6600,"Lost in Translation (2003)",Comedy|Drama|Romance
6601,"Luster (2002)",Comedy|Drama|Romance
6626,"Super Sucker (2002)",Comedy
6639,"Anything Else (2003)",Comedy|Drama|Romance
6640,"Cold Creek Manor (2003)",Drama|Thriller
6642,"Secondhand Lions (2003)",Adventure|Children|Comedy|Drama
6643,"Underworld (2003)",Action|Fantasy|Horror
6644,"Bubba Ho-tep (2002)",Comedy|Horror
6645,"Casa de los babys (2003)",Drama
6646,"Demonlover (2002)",Crime|Drama|Mystery|Thriller
6649,"In This World (2002)",Adventure|Drama
6651,"Yossi & Jagger (2002)",Drama|Romance
6652,"Duplex (2003)",Comedy|Crime
6654,"Under the Tuscan Sun (2003)",Comedy|Drama|Romance
6657,"Luther (2003)",Drama
6658,"Mambo Italiano (2003)",Comedy
6659,"My Life Without Me (2003)",Drama|Romance
6664,"Life and Debt (2001)",Documentary
6665,"Lagaan: Once Upon a Time in India (2001)",Comedy|Drama|Musical|Romance
6679,"Avalon (2001)",Drama|Fantasy|Sci-Fi
6720,"Nobody's Baby (2001)",Comedy
6750,"Charlotte Sometimes (2002)",Drama|Romance
6752,"School of Rock (2003)",Comedy|Musical
6757,"Wonderland (2003)",Crime|Drama|Mystery|Thriller
6759,"Mystic River (2003)",Crime|Drama|Mystery
6760,"Good Boy! (2003)",Children|Comedy|Sci-Fi
6762,"Intolerable Cruelty (2003)",Comedy|Romance
6763,"Kill Bill: Vol. 1 (2003)",Action|Crime|Thriller
6764,"Dopamine (2003)",Comedy|Drama|Romance
6766,"Girls Will Be Girls (2003)",Comedy
6768,"Runaway Jury (2003)",Drama|Thriller
6770,"Pieces of April (2003)",Comedy|Drama
6773,"Veronica Guerin (2003)",Crime|Drama|Thriller
6774,"In the Cut (2003)",Crime|Drama|Mystery|Romance|Thriller
6775,"Beyond Borders (2003)",Drama|Romance|War
6776,"Radio (2003)",Drama
6777,"Scary Movie 3 (2003)",Comedy|Horror
6778,"Brother Bear (2003)",Adventure|Animation|Children
6780,"Gypsy 83 (2001)",Drama
6786,"Unconditional Love (2002)",Comedy|Drama
6816,"Dirt (2001)",Comedy|Crime
6818,"Mail Order Bride (2003)",Comedy
6819,"Shattered Glass (2003)",Crime|Drama
6820,"Suspended Animation (2001)",Thriller
6829,"Love Actually (2003)",Comedy|Drama|Romance
6833,"Looney Tunes: Back in Action (2003)",Action|Animation|Children|Fantasy
6834,"Master and Commander: The Far Side of the World (2003)",Action|Adventure|Drama|War
6835,"Tupac: Resurrection (2003)",Documentary
6839,"Gothika (2003)",Horror|Thriller
6840,"21 Grams (2003)",Drama|Mystery|Romance
6844,"Bad Santa (2003)",Comedy|Crime
6846,"Timeline (2003)",Adventure|Fantasy|Sci-Fi
6849,"OT: Our Town (2002)",Documentary
6850,"Devil's Playground (2002)",Documentary
6852,"Journeys with George (2002)",Documentary
6983,"Rivers and Tides (2001)",Documentary
7029,"Honey (2003)",Drama|Romance
7032,"Prisoner of Paradise (2002)",Documentary
7033,"What Alice Found (2003)",Crime|Drama
7034,"Big Fish (2003)",Drama|Fantasy|Romance
7035,"Love Don't Cost a Thing (2003)",Drama|Romance
7036,"Something's Gotta Give (2003)",Comedy|Drama|Romance
7037,"Stuck On You (2003)",Comedy
7038,"Girl with a Pearl Earring (2003)",Drama|Romance
7041,"Mona Lisa Smile (2003)",Comedy|Drama|Romance
7042,"Calendar Girls (2003)",Comedy
7045,"House of Sand and Fog (2003)",Drama
7047,"Monster (2003)",Crime|Drama|Romance|Thriller
7048,"Cheaper by the Dozen (2003)",Comedy|Drama
7049,"Cold Mountain (2003)",Drama|Romance|War
7050,"Paycheck (2003)",Action|Sci-Fi|Thriller
7051,"Peter Pan (2003)",Action|Adventure|Children|Fantasy
7054,"Japanese Story (2003)",Drama
7056,"Chasing Liberty (2004)",Comedy|Romance
7057,"My Baby's Daddy (2004)",Comedy
7058,"Aileen: Life and Death of a Serial Killer (2003)",Documentary
7060,"Along Came Polly (2004)",Comedy|Romance
7061,"Teacher's Pet (2004)",Animation|Children
7062,"Torque (2004)",Action|Crime
7064,"Osama (2003)",Drama
7086,"Melvin Goes to Dinner (2003)",Comedy|Drama
7088,"Crime Spree (2003)",Comedy|Crime
7089,"Beyond Re-Animator (2003)",Horror
7142,"Win a Date with Tad Hamilton! (2004)",Comedy|Romance
7143,"Touching the Void (2003)",Adventure|Documentary
7146,"You Got Served (2004)",Drama|Musical
7147,"Latter Days (2003)",Comedy|Drama|Romance
7148,"Barbershop 2: Back in Business (2004)",Comedy
7149,"Catch That Kid (2004)",Action|Adventure|Children|Comedy|Crime
7165,"Daddy and Them (2001)",Comedy|Drama
7172,"Thirteen (2003)",Drama
7180,"50 First Dates (2004)",Comedy|Romance
7181,"Welcome to Mooseport (2004)",Comedy
7183,"Face (2002)",Comedy
7201,"Robot Stories (2003)",Drama|Sci-Fi
7202,"Against the Ropes (2004)",Comedy|Drama
7203,"Confessions of a Teenage Drama Queen (2004)",Comedy
7204,"Eurotrip (2004)",Adventure|Comedy
7206,"Club Dread (2004)",Comedy|Horror
7207,"Dirty Dancing: Havana Nights (2004)",Romance
7209,"Alila (2003)",Drama
7211,"Hidalgo (2004)",Action|Adventure|Drama|Western
7212,"Starsky & Hutch (2004)",Action|Comedy|Crime
7224,"American Gun (2002)",Drama
7232,"Agent Cody Banks 2: Destination London (2004)",Action|Adventure|Children|Comedy
7234,"Secret Window (2004)",Mystery|Thriller
7235,"Spartan (2004)",Thriller
7238,"How to Draw a Bunny (2002)",Documentary
7239,"Wilbur Wants to Kill Himself (2002)",Comedy|Drama
7247,"Dawn of the Dead (2004)",Action|Drama|Horror|Thriller
7248,"Eternal Sunshine of the Spotless Mind (2004)",Comedy|Drama|Romance|Sci-Fi
7249,"Taking Lives (2004)",Crime|Drama|Thriller
7251,"Intermission (2003)",Comedy|Crime|Drama
7253,"Jersey Girl (2004)",Comedy|Drama|Romance
7255,"Never Die Alone (2004)",Crime|Drama|Thriller
7258,"Dogville (2003)",Drama|Mystery|Thriller
7259,"Ned Kelly (2003)",Drama
7260,"Hellboy (2004)",Action|Adventure|Fantasy|Sci-Fi
7261,"Home on the Range (2004)",Animation|Children|Comedy|Musical|Western
7263,"Walking Tall (2004)",Action
7265,"Johnson Family Vacation (2004)",Comedy
7267,"Ella Enchanted (2004)",Comedy|Fantasy|Romance
7270,"Shade (2003)",Crime|Drama|Thriller
7277,"Prey for Rock & Roll (2003)",Drama|Musical
7300,"Hangman's Curse (2003)",Horror|Mystery|Thriller
7308,"Connie and Carla (2004)",Comedy
7309,"Kill Bill: Vol. 2 (2004)",Action|Drama|Thriller
7313,"Young Adam (2003)",Crime|Drama|Thriller
7315,"13 Going on 30 (2004)",Comedy|Drama|Fantasy|Romance
7316,"Man on Fire (2004)",Action|Crime|Drama|Mystery|Thriller
7317,"Clifford's Really Big Movie (2004)",Animation|Children
7320,"Godsend (2004)",Drama|Fantasy|Horror|Thriller
7321,"Laws of Attraction (2004)",Comedy|Romance
7322,"Mean Girls (2004)",Comedy
7325,"Van Helsing (2004)",Action|Adventure|Fantasy|Horror
7328,"Breakin' All the Rules (2004)",Comedy|Romance
7330,"Carandiru (2003)",Crime|Drama
7331,"Coffee and Cigarettes (2003)",Comedy|Drama
7493,"Cypher (2002)",Action|Fantasy|Sci-Fi|Thriller
7507,"Lammbock (2001)",Comedy
7537,"Finder's Fee (2001)",Drama|Thriller
7580,"Ken Park (2002)",Drama
7606,"I'm with Lucy (2002)",Comedy|Romance
7627,"Dahmer (2002)",Drama|Horror|Thriller
7650,"Pursuit of Happiness (2001)",Romance
7749,"Raising Helen (2004)",Comedy|Drama
7750,"Soul Plane (2004)",Comedy
7753,"Saved! (2004)",Comedy|Drama
7755,"Harry Potter and the Prisoner of Azkaban (2004)",Adventure|Children|Fantasy
7756,"Mindhunters (2004)",Action|Crime|Horror|Mystery|Thriller
7763,"Napoleon Dynamite (2004)",Comedy
7770,"Hope Springs (2003)",Comedy|Romance
7815,"Super Size Me (2004)",Documentary
7824,"Samsara (2001)",Drama|Romance
7840,"Fear X (2003)",Mystery|Thriller
7852,"Around the World in 80 Days (2004)",Adventure|Comedy
7853,"I'll Sleep When I'm Dead (2003)",Crime|Drama
7854,"Dodgeball: A True Underdog Story (2004)",Comedy
7856,"Dear Frankie (2004)",Drama
7857,"White Chicks (2004)",Action|Comedy|Crime
7861,"De-Lovely (2004)",Drama|Musical
7872,"Reconstruction (2003)",Drama|Romance
7875,"Kopps (2003)",Action|Comedy
7876,"Comandante (2003)",Documentary
7877,"Undead (2003)",Horror|Sci-Fi
7886,"Mayor of the Sunset Strip (2003)",Documentary
7887,"Killing Me Softly (2002)",Drama|Mystery|Romance|Thriller
7895,"Riders (2002)",Action|Crime|Thriller
7896,"I Am Dina (2002)",Crime|Drama|Mystery|Romance
7903,"Taxi 3 (2003)",Action|Comedy
7920,"Fahrenheit 9/11 (2004)",Documentary
7934,"Spider-Man 2 (2004)",Action|Adventure|Sci-Fi
7938,"King Arthur (2004)",Action|Adventure|Drama|War
7939,"Anchorman: The Legend of Ron Burgundy (2004)",Comedy
7940,"Sleepover (2004)",Comedy
7942,"I, Robot (2004)",Action|Adventure|Sci-Fi|Thriller
7961,"Live Forever (2003)",Comedy|Documentary
7964,"Catwoman (2004)",Action|Crime|Fantasy
7969,"Zus & Zo (2001)",Comedy|Drama|Romance
7972,"Disco Pigs (2001)",Drama
8001,"Fausto 5.0 (2001)",Horror
8006,"Hometown Legend (2002)",Drama
8028,"To End All Wars (2001)",Action|Drama|War
8051,"Unprecedented: The 2000 Presidential Election (2002)",Documentary
8077,"Bon Voyage (2003)",Comedy|Drama
8080,"Thunderbirds (2004)",Action|Adventure|Fantasy|Sci-Fi
8082,"Garden State (2004)",Comedy|Drama|Romance
8088,"Revengers Tragedy (2002)",Comedy|Horror
8090,"Octane (2003)",Horror|Thriller
8091,"PTU (2003)",Crime|Drama
8096,"Collateral (2004)",Action|Crime|Drama|Thriller
8097,"Little Black Book (2004)",Comedy|Romance
8098,"Code 46 (2003)",Romance|Sci-Fi
8107,"Danny Deckchair (2003)",Comedy|Romance
8108,"AVP: Alien vs. Predator (2004)",Action|Horror|Sci-Fi|Thriller
8110,"Novo (2002)",Drama
8111,"We Don't Live Here Anymore (2004)",Drama
8112,"Without a Paddle (2004)",Comedy
8113,"Exorcist: The Beginning (2004)",Drama|Horror|Thriller
8127,"Benji: Off the Leash! (2004)",Children|Drama
8128,"Anacondas: The Hunt for the Blood Orchid (2004)",Adventure|Drama|Horror|Sci-Fi|Thriller
8129,"Suspect Zero (2004)",Crime|Drama|Horror|Thriller
8131,"Vanity Fair (2004)",Drama|Romance
8133,"Paparazzi (2004)",Drama|Thriller
8134,"Wicker Park (2004)",Drama|Romance|Thriller
8135,"Triggermen (2002)",Comedy|Crime
8139,"Seeing Other People (2004)",Comedy
8157,"SuperBabies: Baby Geniuses 2 (2004)",Comedy
8158,"Cellular (2004)",Action|Crime|Drama|Mystery|Thriller
8159,"Resident Evil: Apocalypse (2004)",Action|Horror|Sci-Fi|Thriller
8160,"Criminal (2004)",Comedy|Drama
8162,"Sky Captain and the World of Tomorrow (2004)",Action|Adventure|Sci-Fi
8163,"Wimbledon (2004)",Comedy|Romance
8165,"Head in the Clouds (2004)",Drama|Romance|War
8166,"First Daughter (2004)",Comedy|Romance
8171,"Shaun of the Dead (2004)",Comedy|Horror|Romance
8204,"Shark Tale (2004)",Animation|Children|Comedy
8205,"Ladder 49 (2004)",Action|Drama|Thriller
8206,"Black Cloud (2004)",Drama
8207,"I Heart Huckabees (2004)",Comedy|Drama
8208,"Raise Your Voice (2004)",Drama|Romance
8210,"Around the Bend (2004)",Drama
8211,"Primer (2004)",Drama|Mystery|Sci-Fi|Thriller
8212,"Stage Beauty (2004)",Drama
8214,"Team America: World Police (2004)",Action|Adventure|Animation|Comedy|Drama
8215,"Eulogy (2004)",Comedy|Crime|Drama
8216,"P.S. (2004)",Comedy|Drama|Fantasy|Romance
8222,"Spinning Boris (2003)",Comedy|Drama
8228,"Born Rich (2003)",Documentary
8234,"Friday Night Lights (2004)",Action|Drama
8235,"Tarnation (2003)",Documentary
8237,"Hair Show (2004)",Comedy|Romance
8238,"Riding the Bullet (2004)",Horror|Thriller
8239,"Spin (2003)",Children|Drama
8240,"Being Julia (2004)",Comedy|Drama
8243,"Surviving Christmas (2004)",Comedy
8245,"Alfie (2004)",Comedy|Drama|Romance
8246,"Sideways (2004)",Adventure|Comedy|Drama|Romance
8248,"Vera Drake (2004)",Drama
8249,"Falling Angels (2003)",Drama
8250,"Stella Street (2004)",Comedy
8252,"Undertow (2004)",Crime|Drama|Thriller
8253,"Enduring Love (2004)",Drama
8254,"Saw (2004)",Crime|Horror|Mystery|Thriller
8259,"Fade to Black (2004)",Documentary
8260,"It's All About Love (2003)",Drama|Romance|Sci-Fi|Thriller
8261,"Callas Forever (2002)",Drama
8263,"Kinsey (2004)",Drama
8264,"Seed of Chucky (2004)",Comedy|Horror
8265,"After the Sunset (2004)",Action|Adventure|Comedy|Crime|Thriller
8266,"Bridget Jones: The Edge of Reason (2004)",Comedy|Drama|Romance
8267,"Finding Neverland (2004)",Drama
8269,"National Treasure (2004)",Action|Adventure|Drama|Mystery|Thriller
8272,"Fabled (2002)",Drama|Mystery|Thriller
8274,"Alexander (2004)",Action|Adventure|Drama|War
8275,"Christmas with the Kranks (2004)",Children|Comedy
8279,"I Am David (2003)",Drama
8281,"Ocean's Twelve (2004)",Action|Comedy|Crime|Thriller
8282,"Blade: Trinity (2004)",Action|Fantasy|Horror|Thriller
8284,"Bush's Brain (2004)",Documentary
8293,"Stateside (2004)",Drama
8314,"Twist (2003)",Drama
8315,"Control Room (2004)",Documentary|War
8652,"2046 (2004)",Drama|Romance|Sci-Fi
8660,"Late Night Shopping (2001)",Comedy
8664,"Dagon (2001)",Fantasy|Horror|Mystery|Thriller
8665,"Ripley's Game (2002)",Drama|Thriller
8666,"Conspiracy (2001)",Drama|War
8670,"Mockingbird Don't Sing (2001)",Drama
8671,"Blueberry (2004)",Adventure|Western
8672,"Shackleton's Antarctic Adventure (2001)",Documentary|IMAX
8673,"Kairo (2001)",Horror|Mystery|Thriller
8679,"Waterboys (2001)",Comedy
8680,"Fubar (2002)",Comedy|Documentary
8682,"Sex is Comedy (2002)",Comedy|Drama|Romance
8683,"Stratosphere Girl (2004)",Drama|Mystery
8684,"Dead End (2003)",Comedy|Horror|Mystery|Thriller
8688,"Immortel (ad vitam) (2004)",Action|Adventure|Fantasy|Sci-Fi
8693,"Herr Lehmann (2003)",Comedy|Drama
8695,"Bright Young Things (2003)",Comedy|Drama
8698,"11:14 (2003)",Mystery|Thriller
8702,"Nicotina (2003)",Action|Comedy|Drama
8712,"Unstoppable (2004)",Action|Adventure|Comedy|Drama|Thriller
8723,"Ginger Snaps Back: The Beginning (2004)",Fantasy|Horror
8726,"Millions (2004)",Children|Comedy|Crime|Drama|Fantasy
8731,"Spanglish (2004)",Comedy|Drama|Romance
8732,"Festival Express (2003)",Documentary|Musical
8734,"Saints and Soldiers (2003)",War
8737,"Open Water (2003)",Drama|Thriller
8738,"Touch of Pink (2004)",Comedy|Drama|Romance
8741,"Layer Cake (2004)",Action|Crime|Drama|Thriller
8742,"Silver City (2004)",Comedy|Drama|Mystery|Thriller
8744,"Flight of the Phoenix (2004)",Action|Adventure
8745,"Mean Creek (2004)",Drama|Thriller
8748,"Machuca (2004)",Crime|Drama
8753,"She Hate Me (2004)",Comedy|Drama
8754,"Azumi (2003)",Adventure|Drama|Fantasy|Thriller
8755,"In My Father's Den (2004)",Drama
8757,"Metallica: Some Kind of Monster (2004)",Documentary
8758,"Going the Distance (2004)",Comedy
8760,"Schultze Gets the Blues (2003)",Comedy|Drama
8762,"DiG! (2004)",Documentary
8764,"Word Wars (2004)",Comedy|Documentary|Drama
8765,"When Will I Be Loved (2004)",Drama
8768,"Casshern (2004)",Action|Drama|Fantasy|Sci-Fi
8772,"Million Dollar Baby (2004)",Drama
8777,"Hotel Rwanda (2004)",Drama|War
8784,"Beyond the Sea (2004)",Drama|Musical
8786,"In Good Company (2004)",Comedy|Drama
8787,"Meet the Fockers (2004)",Comedy
8791,"Fat Albert (2004)",Comedy|Fantasy
8793,"In the Realms of the Unreal (2004)",Animation|Documentary
8826,"Stander (2003)",Action|Crime|Drama
8831,"Imaginary Heroes (2004)",Comedy|Drama
8849,"Torremolinos 73 (2003)",Comedy|Drama
8855,"This Girl's Life (2003)",Drama
8869,"Employee of the Month (2004)",Comedy|Drama
8873,"Everyday People (2004)",Drama
8881,"Rosenstrasse (2003)",Drama|War
8894,"Assisted Living (2003)",Comedy|Drama
8899,"Uncle Nino (2003)",Comedy
8900,"Bride & Prejudice (2004)",Comedy|Musical|Romance
8906,"Pauly Shore Is Dead (2003)",Comedy
8914,"Dot the I (2003)",Drama|Film-Noir|Thriller
8918,"Travellers and Magicians (2003)",Adventure|Drama
8919,"Zelary (2003)",Drama|Romance
8926,"5x2 (2004)",Drama|Romance
8933,"Gory Gory Hallelujah (2003)",Comedy|Fantasy|Horror
8937,"Walk on Water (2004)",Drama|Thriller
8945,"Kiss the Bride (2002)",Drama|Romance
8958,"Blackball (2003)",Comedy|Drama
8973,"Cube Zero (2004)",Horror|Mystery|Sci-Fi|Thriller
8979,"Melinda and Melinda (2004)",Comedy|Drama
8980,"Milk and Honey (2003)",Drama
8983,"D.E.B.S. (2004)",Action|Comedy
8985,"Incident at Loch Ness (2004)",Adventure|Comedy|Documentary
8987,"Virginia's Run (2002)",Drama
8992,"Woman Thou Art Loosed (2004)",Drama
9034,"Blind Horizon (2003)",Drama|Thriller
9064,"House of D (2004)",Drama
9065,"Palindromes (2004)",Adventure|Comedy|Drama
9074,"Death of a Dynasty (2003)",Comedy
9079,"Mysterious Skin (2004)",Drama|Mystery
9086,"Buying the Cow (2002)",Comedy|Romance
9090,"Off the Map (2003)",Comedy|Drama
9091,"Crackerjack (2002)",Comedy
9102,"9 Songs (2004)",Drama|Romance
9104,"Simon (2004)",Comedy|Drama
9107,"Somersault (2004)",Drama
9113,"Saving Face (2004)",Comedy|Drama|Romance
9125,"It's All Gone Pete Tong (2004)",Comedy|Drama|Musical
9130,"My Summer of Love (2004)",Drama|Romance
9131,"Heights (2004)",Drama
9134,"Saint Ralph (2004)",Comedy|Drama
9157,"Julie Johnson (2001)",Drama
9173,"November (2004)",Drama|Mystery
9203,"My Date with Drew (2004)",Comedy|Documentary|Romance
9228,"HellBent (2004)",Horror|Thriller
9229,"G (2002)",Drama|Romance
9266,"Darwin's Nightmare (2004)",Documentary
9290,"Dandelion (2004)",Drama
9291,"C.S.A.: The Confederate States of America (2004)",Comedy|Drama
9323,"Dead Man's Shoes (2004)",Crime|Thriller
9406,"April's Shower (2003)",Comedy|Romance
9411,"Vinci (2004)",Comedy|Crime
9498,"Dead Birds (2004)",Horror|War|Western
10514,"Bad Eggs (2003)",Comedy|Thriller
10528,"Zen Noir (2004)",Comedy|Drama|Mystery
10630,"Much Ado About Something (2001)",Documentary
10673,"Zona Zamfirova (2002)",Comedy|Drama
